loc	first_date	last_date
925	01.06.2019	12.08.2019
1116	20.09.2019	20.10.2019
1116	10.12.2019	25.12.2019
943	23.01.2019	13.08.2019
943	02.07.2019	13.08.2019
942	28.06.2019	28.07.2019
860	24.12.2019	13.03.2020
855	21.06.2019	01.10.2019
850	26.05.2019	12.08.2019
850	23.08.2019	17.10.2019
840	30.03.2019	25.05.2019
840	22.06.2019	29.07.2019
823	03.04.2019	27.05.2019
823	06.06.2019	28.07.2019
823	30.08.2019	21.10.2019
829	31.05.2019	05.09.2019
829	18.09.2019	22.10.2019
828	07.04.2019	19.04.2019
824	03.07.2019	12.08.2019
