"loc","period","validated_species","n.obs","n.days","freq","flash"
15,"0_1","andre_maardyr",0,13,0,FALSE
15,"0_1","andre_pattedyr",0,13,0,FALSE
15,"0_1","bjorn",0,13,0,FALSE
15,"0_1","ekorn",0,13,0,FALSE
15,"0_1","elg",0,13,0,FALSE
15,"0_1","fugl",0,13,0,FALSE
15,"0_1","gaupe",0,13,0,FALSE
15,"0_1","grevling",0,13,0,FALSE
15,"0_1","hare",0,13,0,FALSE
15,"0_1","hjort",0,13,0,FALSE
15,"0_1","hund",0,13,0,FALSE
15,"0_1","ilder",0,13,0,FALSE
15,"0_1","katt",0,13,0,FALSE
15,"0_1","kjoeretoey",0,13,0,FALSE
15,"0_1","ku",0,13,0,FALSE
15,"0_1","maar",0,13,0,FALSE
15,"0_1","menneske",0,13,0,FALSE
15,"0_1","motorsykkel",0,13,0,FALSE
15,"0_1","nothing",13,13,1,FALSE
15,"0_1","raadyr",0,13,0,FALSE
15,"0_1","rev",0,13,0,FALSE
15,"0_1","rugde",0,13,0,FALSE
15,"0_1","sau",0,13,0,FALSE
15,"0_1","skogshons",0,13,0,FALSE
15,"0_1","smagnagere",0,13,0,FALSE
15,"0_1","sykkel",0,13,0,FALSE
15,"0_1","ukjent",0,13,0,FALSE
15,"0_1","ulv",0,13,0,FALSE
15,"0_1","villsvin",0,13,0,FALSE
15,"0_1",NA,0,13,0,FALSE
15,"0_2","andre_maardyr",0,72,0,FALSE
15,"0_2","andre_pattedyr",0,72,0,FALSE
15,"0_2","bjorn",0,72,0,FALSE
15,"0_2","ekorn",2,72,0.0277777777777778,FALSE
15,"0_2","elg",0,72,0,FALSE
15,"0_2","fugl",61,72,0.847222222222222,FALSE
15,"0_2","gaupe",0,72,0,FALSE
15,"0_2","grevling",2,72,0.0277777777777778,FALSE
15,"0_2","hare",0,72,0,FALSE
15,"0_2","hjort",0,72,0,FALSE
15,"0_2","hund",0,72,0,FALSE
15,"0_2","ilder",0,72,0,FALSE
15,"0_2","katt",0,72,0,FALSE
15,"0_2","kjoeretoey",0,72,0,FALSE
15,"0_2","ku",0,72,0,FALSE
15,"0_2","maar",6,72,0.0833333333333333,FALSE
15,"0_2","menneske",0,72,0,FALSE
15,"0_2","motorsykkel",0,72,0,FALSE
15,"0_2","nothing",81,72,1.125,FALSE
15,"0_2","raadyr",0,72,0,FALSE
15,"0_2","rev",2,72,0.0277777777777778,FALSE
15,"0_2","rugde",0,72,0,FALSE
15,"0_2","sau",0,72,0,FALSE
15,"0_2","skogshons",1,72,0.0138888888888889,FALSE
15,"0_2","smagnagere",0,72,0,FALSE
15,"0_2","sykkel",0,72,0,FALSE
15,"0_2","ukjent",0,72,0,FALSE
15,"0_2","ulv",0,72,0,FALSE
15,"0_2","villsvin",0,72,0,FALSE
15,"0_2",NA,0,72,0,FALSE
15,"0_3","andre_maardyr",0,125,0,FALSE
15,"0_3","andre_pattedyr",0,125,0,FALSE
15,"0_3","bjorn",0,125,0,FALSE
15,"0_3","ekorn",5,125,0.04,FALSE
15,"0_3","elg",0,125,0,FALSE
15,"0_3","fugl",0,125,0,FALSE
15,"0_3","gaupe",0,125,0,FALSE
15,"0_3","grevling",0,125,0,FALSE
15,"0_3","hare",0,125,0,FALSE
15,"0_3","hjort",0,125,0,FALSE
15,"0_3","hund",0,125,0,FALSE
15,"0_3","ilder",0,125,0,FALSE
15,"0_3","katt",0,125,0,FALSE
15,"0_3","kjoeretoey",0,125,0,FALSE
