"loc","x","y","abc","cam_mod"
"1254",516948,6701802,"B","Browning"
"855",530220,6656483,"A","Browning"
"824",529884,6660128,"C","Browning"
"828",529481,6672560,"C","Browning"
"1255",528206,6695083,"A","Browning"
"834",534627,6654935,"B","Browning"
"825",535199,6674189,"B","Browning"
"829",536947,6671382,"C","Browning"
"863",540277,6651359,"A","Browning"
"861",540095,6665427,"A","Browning"
"944",543279,6636676,"B","Reconyx"
"943",541207,6670276,"C","Browning"
"839",544146,6644644,"B","Reconyx"
"1166",544805,6648709,"A","Browning"
"849",544508,6665479,"C","Browning"
"840",548198,6644116,"B","Browning"
"1253",548224,6649879,"C","Browning"
"818",545006,6691874,"A","Browning"
"843",552026,6635605,"B","Browning"
"835",550957,6652897,"C","Browning"
"821",548685,6683995,"A","Browning"
"833",552496,6660347,"B","Browning"
"822",551168,6685288,"C","Browning"
"830",553212,6672512,"A","Browning"
"841",556602,6645039,"A","Browning"
"942",553899,6680093,"B","Browning"
"823",555697,6683385,"C","Browning"
"850",558056,6661011,"B","Browning"
"864",562738,6632860,"A","Reconyx"
"455",561532,6652764,"C","Browning"
"831",560125,6673508,"C","Browning"
"972",559616,6689057,"A","Reconyx"
"827",563169,6675156,"B","Browning"
"925",566534,6652003,"C","Browning"
"848",564009,6688544,"B","Browning"
"954",571715,6633804,"A","Reconyx"
"842",571045,6641955,"B","Browning"
"860",568583,6680950,"A","Browning"
"845",574369,6629090,"C","Reconyx"
"535",574592,6634270,"A","Reconyx"
"456",573273,6657964,"B","Reconyx"
"953",578741,6636428,"C","Reconyx"
"494",582548,6626605,"A","Reconyx"
"15",589827,6620801,"B","Reconyx"
"656",597245,6603236,"C","Reconyx"
"193",597815,6620476,"C","Reconyx"
"258",599475,6604704,"A","Reconyx"
"651",597516,6626474,"B","Reconyx"
"460",600762,6596127,"A","Reconyx"
"513",600478,6649296,"B","Reconyx"
"501",599822,6657457,"C","Reconyx"
"231",607734,6588914,"B","Reconyx"
"662",609453,6581339,"A","Reconyx"
"488",605424,6635054,"C","Reconyx"
"664",606816,6642088,"A","Reconyx"
"127",609952,6623282,"C","Reconyx"
"328",612322,6628402,"B","Reconyx"
"257",616607,6592093,"B","Reconyx"
"971",618222,6626743,"C","Reconyx"
"638",619655,6614564,"A","Reconyx"
