"loc","abc","cam_mod","v_date1","v_date2","v_date3","v_date4","v_date5"
1255,"A","Browning",2019-02-17,NA,NA,2019-10-01,2020-02-16
1254,"B","Browning",2019-02-17,2019-05-29,2019-08-14,2019-10-01,2020-02-16
1253,"C","Browning",NA,2019-05-29,2019-08-14,2019-10-01,2020-02-16
1166,"A","Browning",NA,2019-05-28,NA,2019-10-23,2020-02-18
972,"A","Reconyx",NA,NA,NA,2019-10-23,NA
954,"A","Reconyx",NA,2019-05-14,NA,NA,2020-02-25
953,"C","Reconyx",NA,2019-05-21,2019-07-27,2019-10-16,2020-02-25
944,"B","Reconyx",2019-02-12,2019-05-25,2019-07-29,2019-10-16,2020-02-18
943,"C","Browning",NA,2019-05-29,2019-08-13,2019-10-18,2020-02-16
942,"B","Browning",2019-02-16,2019-05-30,2019-07-28,2019-10-21,2020-02-15
925,"C","Browning",2019-01-29,2019-05-22,2019-08-12,2019-10-17,2020-02-12
864,"A","Reconyx",NA,2019-05-25,NA,NA,2020-02-12
863,"A","Browning",NA,NA,2019-07-25,NA,2020-01-15
861,"A","Browning",NA,NA,2019-07-25,NA,2020-01-15
860,"A","Browning",NA,NA,2019-07-23,NA,2020-02-26
855,"A","Browning",2019-02-15,NA,NA,2019-10-01,2020-02-17
850,"B","Browning",2019-02-18,2019-05-26,2019-08-12,2019-10-17,2020-02-26
849,"C","Browning",NA,2019-05-29,2019-08-13,2019-10-18,2020-02-17
848,"B","Browning",2019-02-16,2019-05-27,2019-07-28,2019-10-22,2020-02-14
845,"C","Reconyx",NA,2019-05-14,2019-07-27,2019-10-16,2020-02-25
843,"B","Browning",2019-01-15,2019-05-25,2019-07-29,2019-10-16,2020-02-13
842,"B","Browning",2019-01-29,2019-05-22,2019-07-27,2019-10-17,2020-02-12
841,"A","Browning",NA,2019-05-22,NA,2019-10-17,2020-02-13
840,"B","Browning",2019-02-12,2019-05-25,2019-07-29,2019-10-23,2020-02-18
839,"B","Reconyx",2019-01-15,2019-05-28,2019-07-29,2019-10-23,2020-02-18
835,"C","Browning",NA,2019-05-26,2019-08-13,2019-10-17,2020-02-13
834,"B","Browning",2019-02-15,2019-05-28,2019-08-14,2019-10-18,2020-02-17
833,"B","Browning",2019-02-15,2019-05-26,2019-08-12,2019-10-17,2020-02-13
831,"C","Browning",NA,2019-05-27,2019-07-28,2019-10-21,2020-02-14
830,"A","Browning",NA,NA,2019-08-15,NA,2020-02-15
829,"C","Browning",2019-02-17,2019-05-29,2019-08-13,2019-10-23,2020-02-16
828,"C","Browning",NA,2019-05-29,2019-08-13,2019-10-18,2020-02-17
827,"B","Browning",2019-02-16,2019-05-27,2019-07-28,2019-10-21,2020-02-14
825,"B","Browning",2019-02-17,2019-05-30,2019-08-13,2019-10-18,2020-02-16
824,"C","Browning",NA,2019-05-29,2019-08-13,2019-10-18,2020-02-17
823,"C","Browning",NA,2019-05-27,2019-07-28,2019-10-21,2020-02-15
822,"C","Browning",NA,2019-05-30,2019-07-28,2019-10-21,2020-02-26
821,"A","Browning",NA,NA,2019-08-15,NA,2020-02-15
818,"A","Browning",NA,NA,2019-08-15,NA,2020-02-15
664,"A","Reconyx",2019-01-22,2019-07-16,2019-07-23,NA,2020-02-13
662,"A","Reconyx",2019-01-25,2019-05-21,NA,2019-10-20,NA
656,"C","Reconyx",2019-01-25,2019-04-28,2019-07-26,2019-10-02,2020-02-07
651,"B","Reconyx",2019-01-22,2019-05-13,2019-07-26,2019-10-14,2020-02-11
638,"A","Reconyx",NA,2019-05-21,NA,2019-10-02,2020-02-11
535,"A","Reconyx",NA,2019-05-14,NA,NA,2020-02-25
513,"B","Reconyx",2019-01-21,2019-05-15,2019-07-24,2019-10-15,2020-02-07
501,"C","Reconyx",2019-01-21,2019-05-15,2019-07-24,2019-10-15,2020-02-07
494,"A","Reconyx",2019-01-28,NA,NA,NA,2020-02-25
488,"C","Reconyx",NA,2019-04-28,2019-07-26,2019-10-14,2020-02-07
460,"A","Reconyx",NA,2019-04-28,NA,2019-10-20,2020-02-12
456,"B","Reconyx",2019-01-24,2019-05-26,2019-07-25,2019-10-21,2020-02-14
455,"C","Browning",NA,2019-05-26,2019-07-28,2019-10-22,2020-02-14
328,"B","Reconyx",2019-01-23,2019-05-13,2019-07-24,2019-10-15,2020-02-10
258,"A","Reconyx",NA,2019-04-28,NA,2019-10-02,2020-02-07
257,"B","Reconyx",2019-01-25,2019-05-21,2019-07-27,2019-10-02,2020-02-12
231,"B","Reconyx",2019-01-25,2019-05-21,2019-07-27,2019-10-02,2020-02-12
193,"C","Reconyx",NA,2019-04-28,2019-07-24,2019-10-02,2020-02-07
127,"C","Reconyx",2019-01-25,2019-05-15,2019-07-26,2019-10-14,2020-02-10
15,"B","Reconyx",2019-01-28,2019-05-13,2019-07-24,2019-10-15,2020-02-11
