"loc","x","y","abc","cam_mod"
"1254",187123.613440504,6715298.77433648,"B","Browning"
"855",196233.745662935,6668907.67951038,"A","Browning"
"824",196229.666286619,6672572.23186668,"C","Browning"
"828",196957.330839796,6685003.3882322,"C","Browning"
"1255",197735.603460163,6707574.13889519,"A","Browning"
"834",200486.939192425,6666964.3723393,"B","Browning"
"825",202806.005281795,6686107.64542033,"B","Browning"
"829",204293.496068533,6683150.39122945,"C","Browning"
"863",205795.206427849,6662886.66356461,"A","Browning"
"861",206890.740137947,6676927.76425412,"A","Browning"
"944",207456.906175792,6647976.7364866,"B","Reconyx"
"943",208439.806462585,6681660.69432271,"C","Browning"
"839",209043.310784286,6655841.5430698,"B","Reconyx"
"1166",210068.841096891,6659834.17000065,"A","Browning"
"849",211294.724087895,6676578.78979455,"C","Browning"
"840",213034.824188465,6654947.87524335,"B","Browning"
"1253",213583.263100604,6660690.44786341,"C","Browning"
"818",214191.207793154,6702845.32863483,"A","Browning"
"843",216079.638451521,6646116.76321214,"B","Browning"
"835",216581.384657123,6663451.04494827,"C","Browning"
"821",217141.518602246,6694656.60201016,"A","Browning"
"833",218791.51668763,6670737.72429301,"B","Browning"
"822",219734.193706417,6695719.58672807,"C","Browning"
"830",220610.035988175,6682798.77406295,"A","Browning"
"841",221495.879195182,6655106.19104998,"A","Browning"
"942",221983.916948603,6690292.9262781,"B","Browning"
"823",224075.470462998,6693410.76424163,"C","Browning"
"850",224393.932084449,6670894.9157233,"B","Browning"
"864",226508.875535634,6642410.53386178,"A","Reconyx"
"455",227110.390621324,6662359.27299529,"C","Browning"
"831",227591.145678958,6683163.38696157,"C","Browning"
"972",228497.66407842,6698707.72801348,"A","Reconyx"
"827",230774.91246471,6684529.36977098,"B","Browning"
"925",232027.01400373,6661147.12969837,"C","Browning"
"848",232829.48300734,6697796.71841683,"B","Browning"
"954",235541.970414925,6642538.74588019,"A","Reconyx"
"842",235612.365994598,6650723.43353023,"B","Browning"
"860",236697.581729371,6689812.028636,"A","Browning"
"845",237760.513549672,6637600.16937896,"C","Reconyx"
"535",238451.603941462,6642742.74611648,"A","Reconyx"
"456",239284.310654333,6666477.07732182,"B","Reconyx"
"953",242782.076376719,6644517.88454195,"C","Reconyx"
"494",245687.246412003,6634383.53943375,"A","Reconyx"
"15",252416.558986578,6627941.12531948,"B","Browning"
"656",258222.387810389,6609766.8535852,"C","Reconyx"
"193",260347.450618144,6626895.19490457,"C","Reconyx"
"258",260577.098827183,6611028.47542155,"A","Reconyx"
"651",260591.785263345,6632899.1953752,"B","Reconyx"
"460",261085.788663512,6602365.35941785,"A","Reconyx"
"513",265609.317220573,6655372.36200159,"B","Reconyx"
"501",265695.460520095,6663563.73759123,"C","Reconyx"
"231",267382.9950282,6594549.23980637,"B","Reconyx"
"662",268413.522433257,6586846.2617179,"A","Reconyx"
"488",269247.933322066,6640733.35955725,"C","Reconyx"
"664",271271.672271402,6647616.06653477,"A","Reconyx"
"127",272694.934357539,6628594.15205301,"C","Reconyx"
"328",275519.273199079,6633481.33975365,"B","Reconyx"
"257",276510.693527774,6596917.19156091,"B","Reconyx"
"638",281574.913600032,6619031.20461641,"A","Reconyx"
